Frame,Visibility,X,Y
0,1,369,474
1,1,370,473
2,1,372,471
3,1,375,469
4,1,379,467
5,1,384,464
6,1,392,459
7,1,402,452
8,1,418,442
9,1,434,426
10,1,449,404
11,1,460,375
12,1,464,341
13,1,461,306
14,1,456,274
15,1,452,243
16,1,448,214
17,1,443,186
18,1,440,159
19,1,436,135
20,1,432,113
21,1,429,93
22,1,425,74
23,1,422,57
24,1,419,41
25,1,416,29
26,1,412,18
27,1,409,7
28,1,406,1
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,1,389,0
36,1,386,3
37,1,384,13
38,1,382,21
39,1,378,35
40,1,377,48
41,1,374,63
42,1,375,81
43,1,374,99
44,1,372,117
45,1,459,158
46,1,523,189
47,1,566,210
48,1,598,227
49,1,623,241
50,1,642,253
51,1,658,263
52,1,678,277
53,1,683,281
54,1,687,286
55,1,695,295
56,1,701,290
57,1,706,277
58,1,708,267
59,1,711,257
60,1,714,249
61,1,716,242
62,1,719,237
63,1,720,233
64,1,723,229
65,1,724,226
66,1,725,223
67,1,723,222
68,1,721,219
69,1,720,219
70,1,719,217
71,1,718,217
72,1,717,216
73,1,715,216
74,1,713,216
75,1,712,216
76,1,710,218
77,1,708,220
78,1,707,220
79,1,705,224
80,1,705,227
81,1,702,230
82,1,700,235
83,1,698,239
84,1,696,243
85,1,695,250
86,1,693,257
87,1,690,264
88,1,688,272
89,1,686,283
90,1,682,292
91,1,681,303
92,1,678,316
93,1,675,329
94,1,672,345
95,1,669,361
96,1,666,379
97,1,662,376
98,1,660,370
99,1,657,365
100,1,654,360
101,1,650,356
102,1,647,354
103,1,644,353
104,1,640,353
105,1,637,353
106,1,632,355
107,1,629,357
108,1,624,362
109,1,622,367
110,1,616,374
111,1,613,383
112,1,625,360
113,1,638,340
114,1,648,323
115,1,660,307
116,1,669,294
117,1,678,283
118,1,686,273
119,1,694,265
120,1,702,258
121,1,708,253
122,1,716,248
123,1,720,245
124,1,726,242
125,1,731,240
126,1,737,240
127,1,741,240
128,1,745,240
129,1,750,241
130,1,755,243
131,1,758,245
132,1,762,247
133,1,766,250
134,1,769,254
135,1,772,258
136,1,776,262
137,1,779,267
138,1,782,272
139,1,786,278
140,1,789,281
141,1,790,288
142,1,793,293
143,1,795,298
144,1,798,305
145,1,800,299
146,1,802,292
147,1,803,286
148,1,805,280
149,1,808,277
150,1,809,273
151,1,812,270
152,1,814,267
153,1,816,264
154,1,817,263
155,1,819,261
156,1,820,260
157,1,823,261
158,1,824,260
159,1,826,261
160,1,828,263
161,1,829,264
162,1,831,266
163,1,833,269
164,1,834,271
165,1,834,275
166,1,837,280
167,1,839,283
168,0,0,0
169,1,826,273
170,1,817,267
171,1,809,261
172,1,802,256
173,1,794,250
174,1,787,245
175,1,778,241
176,1,770,237
177,1,762,233
178,1,752,230
179,1,743,227
180,1,733,224
181,1,722,222
182,1,713,221
183,1,703,220
184,1,694,219
185,1,683,219
186,1,672,220
187,1,660,221
188,1,650,223
189,1,639,225
190,1,626,229
191,1,613,233
192,1,601,237
193,1,588,242
194,1,574,249
195,1,560,256
196,1,555,258
197,1,558,256
198,1,560,253
199,1,561,252
200,1,564,251
201,1,565,251
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,1,571,259
207,1,571,263
208,1,573,265
209,1,573,268
210,1,574,271
211,1,575,274
212,1,577,280
213,1,578,284
214,1,578,288
215,1,578,295
216,1,578,293
217,1,578,288
218,1,578,283
219,1,577,277
220,1,578,272
221,1,577,269
222,1,575,267
223,1,576,263
224,1,576,260
225,1,575,259
226,1,575,257
227,1,576,256
228,1,574,256
229,1,574,256
230,1,574,256
231,1,573,257
232,1,572,259
233,1,573,261
234,1,574,263
235,1,573,265
236,1,574,270
237,1,572,272
238,1,572,277
239,1,573,278
240,1,574,277
241,1,571,273
242,1,572,269
243,1,570,269
